ID,book_name,type,責任者,卷數,版本,時代,Time,地點,Location,來源,錄入員,錄入時間
fff33db7-ae5b-4217-9c25-92ba6e1848fa,論語注疏,经部,北宋-邢昺-疏,10,南宋蜀大字本,南宋,1127-1279,蜀,四川,《日本宮內廳書陵部藏宋元版漢籍選刊》23,張三,2022年8月20日
4ad5eb22-ef20-48fb-8357-40e90e0ef54a,文選（明州本）,集部,唐-李善-注/唐-五臣-注,60,宋明州六家注本,北宋/南宋,960-1127/1158,明州,浙江寧波,《日本宮內廳書陵部藏宋元版漢籍選刊》161,張三,2022年8月20日
7759a62a-5366-4a68-9932-6f57bb805a5e,大方廣佛華嚴經,子部,唐-實叉難陀-譯,80,南宋紹興府華嚴會小字印本（依紹興府廣教院舊本校勘，傳寫有闕略差訛處，依清涼國師疏文添入改正）,南宋,1139-1142,紹興府,浙江紹興,《日本宮內廳書陵部藏宋元版漢籍選刊》107,杜怡然,44839
cd627f44-bfcd-4520-a5a9-26d551a80783,禪宗頌古聯珠通集,子部,南宋-釋法應-輯集/元-釋普惠-續輯,10,元代浙刻本？,元代,1271-1368,浙江,浙江,《日本宮內廳書陵部藏宋元版漢籍選刊》114,杜怡然,44839
c3f700e1-8acb-4a2f-a384-cdc9ed282e79,禮記集說,经部,元-陳澔-撰,16,元天曆元年刻本,元天曆元年,1328,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》11-12,黃漢,44849
10fda974-d969-479d-9901-84ef04596622,孝經,经部,唐-李隆基-注,1,北宋天聖、明道間小字刻本,北宋,960-1127,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》22,黃漢,44849
0733a8bb-7164-46b3-adab-c4a0d6595be8,爾雅注疏,经部,晉-郭璞-注/宋-邢昺-疏,11,元刻本,元代,1271-1368,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》26,黃漢,44849
d688e1a5-4469-43ad-bf55-503f902326c2,故唐律疏議名例篇,史部,唐-長孫無忌等-撰,6,元余志安刻本,元至正十一年,1351,-,-,《日本宮內廳書陵部藏宋元版漢籍選刊》40,黃漢,44849
86bb9ba4-406c-11ed-b878-0242ac120002,本草衍義,子部,北宋-寇宗奭-撰,20,南宋孝宗淳熙十二年江南西路轉運司刻寧宗慶元元年重修本,南宋/南宋,1185/1195,江南西路轉運司,江西省南昌市,《日本宮內廳書陵部藏宋元版漢籍選刊》63,黃漢,44849
94bbd2c5-8188-4fdc-ad09-a8a2d8cbb647,尚書正義,经部,唐-孔穎達-撰/唐-王德韶-撰/唐-李子雲-撰/唐-朱長才-覆審/唐-蘇德融-覆審/唐-隋德素-覆審/唐-王士雄-覆審/唐-趙弘智-覆審/唐-長孫無忌-刊定/唐-李勣-刊定/唐-于志寧-刊定/唐-張行成-刊定/唐-高季輔-刊定/唐-褚遂良-刊定/唐-柳奭-刊定/唐-谷那律-刊定/唐-劉伯莊-刊定/唐-賈公彥-刊定/唐-范義頵-刊定/唐-齊威-刊定/唐-柳士宣-刊定/唐-孔志約-刊定/唐-趙君贊-刊定/唐-薛伯珍-刊定/唐-史士弘-刊定/唐-鄭祖玄-刊定/唐-周玄達-刊定/唐-李玄植-刊定/唐-王真儒-刊定,20,南宋翻刻北宋國子監刻單疏本,南宋隆興、乾道年間,1163-1173,江南州,江南,《日本宮內廳書陵部藏宋元版漢籍選刊》3,陳志軒,2022年10月2日
5955d382-5f1e-4969-9231-2784498403cd,呂氏家塾讀詩記,经部,宋-呂祖謙-撰,9,南宋浙江南西路轉運司丘崈刊本,淳煕9年後的宋孝宗朝,1182-1189,浙江,浙江,《日本宮內廳書陵部藏宋元版漢籍選刊》5/書志書影,陳志軒,2022年11月14日
307e9384-b429-43cc-ba6b-19fbd03ebca1,楊氏家藏方,子部,宋-楊倓-撰,21,南宋淳熙年間刻本,淳熙12年/?,1185,當塗郡,安徽省當塗縣,《日本宮內廳書陵部藏宋元版漢籍選刊》66/書志書影,陳志軒,2022年10月11日
b66f0dad-ccb4-44c6-9c01-04f49d700a7c,正法眼藏,子部,宋-釋宗杲-撰,3,南宋刻本,南宋光宗年間/延德三年,1147-1200/1491,南宋,南宋,《日本宮內廳書陵部藏宋元版漢籍選刊》113/書志書影,陳志軒,2022年10月11日
891a38fd-9cb8-495a-b18a-f4b65106e016,四書章圖纂釋,经部,宋-朱熹-撰/元-程復心-纂釋,5,德新堂刊本,至元三年,1337,建安德新堂,福建省建瓯市,《日本宮內廳書陵部藏宋元版漢籍選刊》25,陳志軒,2022年10月12日
